state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,date_local,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code,method,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change,pollutant
24,005,3001,42101,1,39.310833,-76.474444,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,2019-01-01,Parts per million,No Events,2,8.0,Y,0.2415,0.248,1,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU / T300U,Essex,600 Dorsey Avenue,Maryland,Baltimore,Essex,12580,"Baltimore-Columbia-Towson, MD",2021-11-01,CO
24,005,3001,42101,1,39.310833,-76.474444,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,2019-01-08,Parts per million,No Events,21,88.0,Y,0.29481,0.617,7,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU / T300U,Essex,600 Dorsey Avenue,Maryland,Baltimore,Essex,12580,"Baltimore-Columbia-Towson, MD",2021-11-01,CO
24,005,3001,42101,1,39.310833,-76.474444,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,2019-01-08,Parts per million,No Events,16,67.0,Y,0.29375,0.4,13,5.0,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU / T300U,Essex,600 Dorsey Avenue,Maryland,Baltimore,Essex,12580,"Baltimore-Columbia-Towson, MD",2023-02-05,CO
24,005,3001,42101,1,39.310833,-76.474444,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,2019-01-09,Parts per million,No Events,23,96.0,Y,0.15487,0.195,0,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU / T300U,Essex,600 Dorsey Avenue,Maryland,Baltimore,Essex,12580,"Baltimore-Columbia-Towson, MD",2021-11-01,CO
24,005,3001,42101,1,39.310833,-76.474444,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,2019-01-09,Parts per million,No Events,24,100.0,Y,0.204167,0.3,0,3.0,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU / T300U,Essex,600 Dorsey Avenue,Maryland,Baltimore,Essex,12580,"Baltimore-Columbia-Towson, MD",2023-02-05,CO
24,005,3001,42101,1,39.310833,-76.474444,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,2019-01-10,Parts per million,No Events,24,100.0,Y,0.146875,0.174,7,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU / T300U,Essex,600 Dorsey Avenue,Maryland,Baltimore,Essex,12580,"Baltimore-Columbia-Towson, MD",2021-11-01,CO
24,005,3001,42101,1,39.310833,-76.474444,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,2019-01-10,Parts per million,No Events,24,100.0,Y,0.15,0.2,11,2.0,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU / T300U,Essex,600 Dorsey Avenue,Maryland,Baltimore,Essex,12580,"Baltimore-Columbia-Towson, MD",2023-02-05,CO
24,005,3001,42101,1,39.310833,-76.474444,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,2019-01-11,Parts per million,No Events,24,100.0,Y,0.28525,1.263,23,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU / T300U,Essex,600 Dorsey Avenue,Maryland,Baltimore,Essex,12580,"Baltimore-Columbia-Towson, MD",2021-11-01,CO
24,005,3001,42101,1,39.310833,-76.474444,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,2019-01-11,Parts per million,No Events,24,100.0,Y,0.195833,0.5,23,6.0,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU / T300U,Essex,600 Dorsey Avenue,Maryland,Baltimore,Essex,12580,"Baltimore-Columbia-Towson, MD",2023-02-05,CO
24,005,3001,42101,1,39.310833,-76.474444,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,2019-01-12,Parts per million,No Events,24,100.0,Y,0.365917,1.066,0,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU / T300U,Essex,600 Dorsey Avenue,Maryland,Baltimore,Essex,12580,"Baltimore-Columbia-Towson, MD",2021-11-01,CO
24,005,3001,42101,1,39.310833,-76.474444,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,2019-01-12,Parts per million,No Events,24,100.0,Y,0.45,0.8,1,9.0,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU / T300U,Essex,600 Dorsey Avenue,Maryland,Baltimore,Essex,12580,"Baltimore-Columbia-Towson, MD",2023-02-05,CO
24,005,3001,42101,1,39.310833,-76.474444,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,2019-01-13,Parts per million,No Events,24,100.0,Y,0.216417,0.358,10,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU / T300U,Essex,600 Dorsey Avenue,Maryland,Baltimore,Essex,12580,"Baltimore-Columbia-Towson, MD",2021-11-01,CO
24,005,3001,42101,1,39.310833,-76.474444,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,2019-01-13,Parts per million,No Events,24,100.0,Y,0.2125,0.3,15,3.0,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU / T300U,Essex,600 Dorsey Avenue,Maryland,Baltimore,Essex,12580,"Baltimore-Columbia-Towson, MD",2023-02-05,CO
24,005,3001,42101,1,39.310833,-76.474444,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,2019-01-14,Parts per million,No Events,24,100.0,Y,0.328792,0.855,21,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU / T300U,Essex,600 Dorsey Avenue,Maryland,Baltimore,Essex,12580,"Baltimore-Columbia-Towson, MD",2021-11-01,CO
24,005,3001,42101,1,39.310833,-76.474444,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,2019-01-14,Parts per million,No Events,24,100.0,Y,0.254167,0.6,23,7.0,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU / T300U,Essex,600 Dorsey Avenue,Maryland,Baltimore,Essex,12580,"Baltimore-Columbia-Towson, MD",2023-02-05,CO
24,005,3001,42101,1,39.310833,-76.474444,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,2019-01-15,Parts per million,No Events,23,96.0,Y,0.511217,1.281,7,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU / T300U,Essex,600 Dorsey Avenue,Maryland,Baltimore,Essex,12580,"Baltimore-Columbia-Towson, MD",2021-11-01,CO
24,005,3001,42101,1,39.310833,-76.474444,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,2019-01-15,Parts per million,No Events,24,100.0,Y,0.525,0.7,0,8.0,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU / T300U,Essex,600 Dorsey Avenue,Maryland,Baltimore,Essex,12580,"Baltimore-Columbia-Towson, MD",2023-02-05,CO
24,005,3001,42101,1,39.310833,-76.474444,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,2019-01-16,Parts per million,No Events,24,100.0,Y,0.44275,1.366,7,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU / T300U,Essex,600 Dorsey Avenue,Maryland,Baltimore,Essex,12580,"Baltimore-Columbia-Towson, MD",2021-11-01,CO
24,005,3001,42101,1,39.310833,-76.474444,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,2019-01-16,Parts per million,No Events,24,100.0,Y,0.504167,0.8,9,9.0,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU / T300U,Essex,600 Dorsey Avenue,Maryland,Baltimore,Essex,12580,"Baltimore-Columbia-Towson, MD",2023-02-05,CO
24,005,3001,42101,1,39.310833,-76.474444,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,2019-01-17,Parts per million,No Events,24,100.0,Y,0.226083,0.318,21,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU / T300U,Essex,600 Dorsey Avenue,Maryland,Baltimore,Essex,12580,"Baltimore-Columbia-Towson, MD",2021-11-01,CO
