state_code,county_code,site_number,parameter_code,poc,parameter_name,open_date,close_date,concurred_exclusions,dominant_source,measurement_scale,measurement_scale_def,monitoring_objective,last_method_code,last_method_description,last_method_begin_date,naaqs_primary_monitor,qa_primary_monitor,monitor_type,networks,monitoring_agency_code,monitoring_agency,si_id,latitude,longitude,datum,lat_lon_accuracy,elevation,probe_height,pl_probe_location,local_site_name,address,state_name,county_name,city_name,cbsa_code,cbsa_name,csa_code,csa_name,tribal_code,tribe_name,pollutant,dist_from_wheelabrator_km,bearing_from_wheelabrator
24,510,0040,88101,1,PM2.5 - Local Conditions,1999-01-01,2021-12-31,,,MIDDLE SCALE,100 M TO 500 M,HIGHEST CONCENTRATION,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2011-09-10,,,,,1002,Maryland Department of the Environment,6917,39.297733,-76.604603,WGS84,0.0,12.0,4.9,TOP OF BUILDING,Oldtown,"Oldtown Fire Station, 1100 Hillen Street",Maryland,Baltimore (City),Baltimore,12580,"Baltimore-Columbia-Towson, MD",548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",,,PM2.5,4.967818246456462,339.09164763963884
24,510,5253,88101,3,PM2.5 - Local Conditions,2022-01-01,,,AREA,MIDDLE SCALE,100 M TO 500 M,HIGHEST CONCENTRATION,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,2022-01-01,,,SLAMS,,1002,Maryland Department of the Environment,104624,39.33746,-76.58905,NAD83,1.0,224.0,4.5,TOP OF BUILDING,Lake Montebello,3900 Hillen Road,Maryland,Baltimore (City),Baltimore,12580,"Baltimore-Columbia-Towson, MD",548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",,,PM2.5,9.06835677794849,357.2549173384744
24,510,0040,88101,3,PM2.5 - Local Conditions,2008-07-03,2021-12-31,All (2008-07-03 - 2010-06-30),AREA,MIDDLE SCALE,100 M TO 500 M,HIGHEST CONCENTRATION,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,2008-07-03,,,,,1002,Maryland Department of the Environment,6917,39.297733,-76.604603,WGS84,0.0,12.0,5.1,TOP OF BUILDING,Oldtown,"Oldtown Fire Station, 1100 Hillen Street",Maryland,Baltimore (City),Baltimore,12580,"Baltimore-Columbia-Towson, MD",548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",,,PM2.5,4.967818246456462,339.09164763963884
24,510,5253,88101,1,PM2.5 - Local Conditions,2022-01-01,,,AREA,MIDDLE SCALE,100 M TO 500 M,HIGHEST CONCENTRATION,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2022-01-01,Y,Y,SLAMS,,1002,Maryland Department of the Environment,104624,39.33746,-76.58905,NAD83,1.0,224.0,,TOP OF BUILDING,Lake Montebello,3900 Hillen Road,Maryland,Baltimore (City),Baltimore,12580,"Baltimore-Columbia-Towson, MD",548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",,,PM2.5,9.06835677794849,357.2549173384744
24,510,5253,81102,1,PM10 Total 0-10um STP,2022-01-01,,,,MIDDLE SCALE,100 M TO 500 M,POPULATION EXPOSURE,127,R - P Co Partisol Model 2025 - Gravimetric,2022-01-01,Y,,SLAMS,,1002,Maryland Department of the Environment,104624,39.33746,-76.58905,NAD83,1.0,224.0,,TOP OF BUILDING,Lake Montebello,3900 Hillen Road,Maryland,Baltimore (City),Baltimore,12580,"Baltimore-Columbia-Towson, MD",548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",,,PM10,9.06835677794849,357.2549173384744
24,510,0040,81102,1,PM10 Total 0-10um STP,1992-01-01,2021-12-31,,AREA,MIDDLE SCALE,100 M TO 500 M,POPULATION EXPOSURE,127,R - P Co Partisol Model 2025 - Gravimetric,2017-01-01,,,,,1002,Maryland Department of the Environment,6917,39.297733,-76.604603,WGS84,0.0,12.0,4.9,TOP OF BUILDING,Oldtown,"Oldtown Fire Station, 1100 Hillen Street",Maryland,Baltimore (City),Baltimore,12580,"Baltimore-Columbia-Towson, MD",548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",,,PM10,4.967818246456462,339.09164763963884
24,510,0040,42602,1,Nitrogen dioxide (NO2),1981-11-05,2021-12-31,,AREA,MIDDLE SCALE,100 M TO 500 M,HIGHEST CONCENTRATION,599,Instrumental - Chemiluminescence Teledyne API 200 EU/501,2015-10-01,Y,,,,1002,Maryland Department of the Environment,6917,39.297733,-76.604603,WGS84,0.0,12.0,4.4,TOP OF BUILDING,Oldtown,"Oldtown Fire Station, 1100 Hillen Street",Maryland,Baltimore (City),Baltimore,12580,"Baltimore-Columbia-Towson, MD",548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",,,NO2,4.967818246456462,339.09164763963884
24,510,5253,42602,1,Nitrogen dioxide (NO2),2022-01-01,2023-06-30,,AREA,MIDDLE SCALE,100 M TO 500 M,HIGHEST CONCENTRATION,599,Instrumental - Chemiluminescence Teledyne API 200 EU/501,2022-01-01,,,,,1002,Maryland Department of the Environment,104624,39.33746,-76.58905,NAD83,1.0,224.0,4.5,TOP OF BUILDING,Lake Montebello,3900 Hillen Road,Maryland,Baltimore (City),Baltimore,12580,"Baltimore-Columbia-Towson, MD",548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",,,NO2,9.06835677794849,357.2549173384744
24,510,5253,42602,4,Nitrogen dioxide (NO2),2023-04-01,,,AREA,MIDDLE SCALE,100 M TO 500 M,HIGHEST CONCENTRATION,212,Teledyne Model T500U - Cavity Attenuated Phase Shift Spectroscopy,2023-04-01,Y,,SLAMS,,1002,Maryland Department of the Environment,104624,39.33746,-76.58905,NAD83,1.0,224.0,4.5,TOP OF BUILDING,Lake Montebello,3900 Hillen Road,Maryland,Baltimore (City),Baltimore,12580,"Baltimore-Columbia-Towson, MD",548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",,,NO2,9.06835677794849,357.2549173384744
24,510,5253,44201,1,Ozone,2022-01-01,,,AREA,MIDDLE SCALE,100 M TO 500 M,POPULATION EXPOSURE,087,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2022-01-01,Y,,SLAMS,,1002,Maryland Department of the Environment,104624,39.33746,-76.58905,NAD83,1.0,224.0,4.5,TOP OF BUILDING,Lake Montebello,3900 Hillen Road,Maryland,Baltimore (City),Baltimore,12580,"Baltimore-Columbia-Towson, MD",548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",,,Ozone,9.06835677794849,357.2549173384744
