state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,date_local,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code,method,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change,pollutant
24,005,3001,42401,1,39.310833,-76.474444,WGS84,Sulfur dioxide,1,1 HOUR,SO2 Annual 1971,2019-01-01,Parts per billion,No Events,23,96.0,Y,0.778261,0.9,1,0.0,600,Instrumental - Ultraviolet Fluorescence API 100 EU,Essex,600 Dorsey Avenue,Maryland,Baltimore,Essex,12580,"Baltimore-Columbia-Towson, MD",2025-03-20,SO2
24,005,3001,42401,1,39.310833,-76.474444,WGS84,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,2019-01-01,Parts per billion,No Events,23,96.0,Y,0.778261,0.9,1,0.0,600,Instrumental - Ultraviolet Fluorescence API 100 EU,Essex,600 Dorsey Avenue,Maryland,Baltimore,Essex,12580,"Baltimore-Columbia-Towson, MD",2025-03-20,SO2
24,005,3001,42401,1,39.310833,-76.474444,WGS84,Sulfur dioxide,1,1 HOUR,SO2 Annual 2024,2019-01-01,Parts per billion,No Events,23,96.0,Y,0.778261,0.9,1,0.0,600,Instrumental - Ultraviolet Fluorescence API 100 EU,Essex,600 Dorsey Avenue,Maryland,Baltimore,Essex,12580,"Baltimore-Columbia-Towson, MD",2025-03-20,SO2
24,005,3001,42401,1,39.310833,-76.474444,WGS84,Sulfur dioxide,X,24-HR BLK AVG,SO2 24-hour 1971,2019-01-01,Parts per billion,No Events,1,100.0,Y,0.8,0.8,23,,600,Instrumental - Ultraviolet Fluorescence API 100 EU,Essex,600 Dorsey Avenue,Maryland,Baltimore,Essex,12580,"Baltimore-Columbia-Towson, MD",2025-03-20,SO2
24,005,3001,42401,1,39.310833,-76.474444,WGS84,Sulfur dioxide,Y,3-HR BLK AVG,SO2 3-hour 1971,2019-01-01,Parts per billion,No Events,7,88.0,Y,0.714286,0.8,2,,600,Instrumental - Ultraviolet Fluorescence API 100 EU,Essex,600 Dorsey Avenue,Maryland,Baltimore,Essex,12580,"Baltimore-Columbia-Towson, MD",2025-03-20,SO2
24,005,3001,42401,1,39.310833,-76.474444,WGS84,Sulfur dioxide,1,1 HOUR,SO2 Annual 1971,2019-01-02,Parts per billion,No Events,23,96.0,Y,0.630435,0.7,5,0.0,600,Instrumental - Ultraviolet Fluorescence API 100 EU,Essex,600 Dorsey Avenue,Maryland,Baltimore,Essex,12580,"Baltimore-Columbia-Towson, MD",2025-03-20,SO2
24,005,3001,42401,1,39.310833,-76.474444,WGS84,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,2019-01-02,Parts per billion,No Events,23,96.0,Y,0.630435,0.7,5,0.0,600,Instrumental - Ultraviolet Fluorescence API 100 EU,Essex,600 Dorsey Avenue,Maryland,Baltimore,Essex,12580,"Baltimore-Columbia-Towson, MD",2025-03-20,SO2
24,005,3001,42401,1,39.310833,-76.474444,WGS84,Sulfur dioxide,1,1 HOUR,SO2 Annual 2024,2019-01-02,Parts per billion,No Events,23,96.0,Y,0.630435,0.7,5,0.0,600,Instrumental - Ultraviolet Fluorescence API 100 EU,Essex,600 Dorsey Avenue,Maryland,Baltimore,Essex,12580,"Baltimore-Columbia-Towson, MD",2025-03-20,SO2
24,005,3001,42401,1,39.310833,-76.474444,WGS84,Sulfur dioxide,X,24-HR BLK AVG,SO2 24-hour 1971,2019-01-02,Parts per billion,No Events,1,100.0,Y,0.6,0.6,23,,600,Instrumental - Ultraviolet Fluorescence API 100 EU,Essex,600 Dorsey Avenue,Maryland,Baltimore,Essex,12580,"Baltimore-Columbia-Towson, MD",2025-03-20,SO2
24,005,3001,42401,1,39.310833,-76.474444,WGS84,Sulfur dioxide,Y,3-HR BLK AVG,SO2 3-hour 1971,2019-01-02,Parts per billion,No Events,7,88.0,Y,0.585714,0.6,8,,600,Instrumental - Ultraviolet Fluorescence API 100 EU,Essex,600 Dorsey Avenue,Maryland,Baltimore,Essex,12580,"Baltimore-Columbia-Towson, MD",2025-03-20,SO2
24,005,3001,42401,1,39.310833,-76.474444,WGS84,Sulfur dioxide,1,1 HOUR,SO2 Annual 1971,2019-01-03,Parts per billion,No Events,24,100.0,Y,1.0,1.7,23,1.0,600,Instrumental - Ultraviolet Fluorescence API 100 EU,Essex,600 Dorsey Avenue,Maryland,Baltimore,Essex,12580,"Baltimore-Columbia-Towson, MD",2025-03-20,SO2
24,005,3001,42401,1,39.310833,-76.474444,WGS84,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,2019-01-03,Parts per billion,No Events,24,100.0,Y,1.0,1.7,23,1.0,600,Instrumental - Ultraviolet Fluorescence API 100 EU,Essex,600 Dorsey Avenue,Maryland,Baltimore,Essex,12580,"Baltimore-Columbia-Towson, MD",2025-03-20,SO2
24,005,3001,42401,1,39.310833,-76.474444,WGS84,Sulfur dioxide,1,1 HOUR,SO2 Annual 2024,2019-01-03,Parts per billion,No Events,24,100.0,Y,1.0,1.7,23,1.0,600,Instrumental - Ultraviolet Fluorescence API 100 EU,Essex,600 Dorsey Avenue,Maryland,Baltimore,Essex,12580,"Baltimore-Columbia-Towson, MD",2025-03-20,SO2
